index,sensor_id,latitude,longitude,type,direction,code
0,120022,52.09082,4.30510,1,-1,120
1,120023,52.09082,4.30510,1,1,120
2,120051,52.09073,4.30464,0,-1,120
3,120081,52.09101,4.30479,1,0,120
4,120111,52.09097,4.30508,0,1,120
5,120112,52.09097,4.30508,0,1,120
6,120113,52.09097,4.30508,-1,1,120
7,134021,52.08779,4.29642,0,0,134
8,134031,52.08778,4.29636,1,1,134
9,134041,52.08795,4.29579,-1,-1,134
10,134051,52.08800,4.29572,0,-1,134
11,134081,52.08818,4.29581,1,-1,134
12,134111,52.08804,4.29669,0,1,134
13,134112,52.08802,4.29671,0,1,134
14,140031,52.08523,4.29340,1,1,140
15,140041,52.08496,4.29295,-1,-1,140
16,140051,52.08498,4.29289,0,-1,140
17,140111,52.08537,4.29316,0,1,140
18,140121,52.08538,4.29322,-1,1,140
19,159051,52.08488,4.28272,0,-1,159
20,159052,52.08490,4.28271,0,-1,159
21,159082,52.08513,4.28267,1,0,159
22,159111,52.08512,4.28377,0,1,159
23,159112,52.08509,4.28383,0,1,159
24,159651,52.08497,4.28342,0,-1,159
25,159652,52.08498,4.28329,0,-1,159
26,159711,52.08504,4.28306,0,1,159
27,159712,52.08502,4.28321,0,1,159
28,159713,52.08500,4.28320,-1,1,159
29,405021,52.09247,4.31066,1,-1,405
30,405022,52.09246,4.31061,1,-1,405
31,405031,52.09245,4.31056,1,1,405
32,405032,52.09244,4.31052,1,1,405
33,405041,52.09231,4.30949,-1,-1,405
34,405051,52.09233,4.30946,0,-1,405
35,405071,52.09286,4.31006,0,1,405
36,405081,52.09285,4.31012,-1,1,405
37,405082,52.09289,4.31014,-1,1,405
38,405091,52.09287,4.31021,-1,1,405
39,405101,52.09280,4.31076,1,-1,405
40,405111,52.09278,4.31078,1,1,405
41,405641,52.09250,4.31013,-1,-1,405
42,405651,52.09250,4.31013,-1,-1,405
43,405661,52.09252,4.31009,0,-1,405
44,405681,52.09258,4.30954,1,0,405
45,405711,52.09256,4.30989,0,1,405
46,405712,52.09254,4.30990,0,1,405
47,405721,52.09252,4.30993,-1,1,405
48,406011,52.09642,4.30725,-1,-1,406
49,406021,52.09641,4.30720,0,-1,406
50,406022,52.09639,4.30717,0,-1,406
51,406081,52.09678,4.30653,0,1,406
52,406082,52.09680,4.30657,0,1,406
53,406091,52.09682,4.30660,-1,1,406
54,406101,52.09710,4.30748,1,-1,406
55,406121,52.09704,4.30748,1,1,406
56,701021,52.09172,4.28410,1,0,701
57,701051,52.09156,4.28382,0,1,701
58,701052,52.09156,4.28376,0,1,701
59,701111,52.09192,4.28363,-1,-1,701
60,701112,52.09190,4.28368,0,-1,701
61,701113,52.09191,4.28372,0,-1,701
62,701121,52.09191,4.28374,-1,-1,701
63,702011,52.08928,4.28347,1,1,702
64,702031,52.08925,4.28347,1,-1,702
65,702041,52.08914,4.28312,-1,1,702
66,702051,52.08910,4.28303,0,1,702
67,702052,52.08911,4.28298,0,1,702
68,702111,52.08952,4.28295,0,-1,702
69,702112,52.08951,4.28299,0,-1,702
70,702121,52.08951,4.28305,-1,-1,702
71,703021,52.08773,4.28056,0,1,703
72,703022,52.08772,4.28052,-1,1,703
73,703031,52.08771,4.28048,-1,1,703
74,703051,52.08760,4.27970,1,0,703
75,703052,52.08763,4.27968,1,1,703
76,703081,52.08801,4.27985,1,-1,703
77,703082,52.08801,4.27990,1,-1,703
78,703091,52.08802,4.27994,1,1,703
79,703111,52.08810,4.28070,-1,-1,703
80,703112,52.08809,4.28073,-1,-1,703
81,709011,52.09348,4.28496,1,1,709
82,709021,52.09346,4.28493,1,-1,709
83,709081,52.09333,4.28416,1,-1,709
84,709082,52.09338,4.28412,1,0,709
85,709083,52.09340,4.28419,1,1,709
86,709101,52.09373,4.28456,-1,-1,709
87,709111,52.09373,4.28461,0,-1,709
88,709112,52.09371,4.28464,0,-1,709
89,709121,52.09370,4.28468,-1,-1,709
90,709651,52.09336,4.28470,0,1,709
91,709652,52.09336,4.28464,0,1,709
92,709661,52.09337,4.28460,-1,1,709
93,709711,52.09344,4.28442,0,-1,709
94,709712,52.09342,4.28446,0,-1,709
95,711021,52.09555,4.28678,1,1,711
96,711022,52.09553,4.28675,1,-1,711
97,710051,52.09484,4.28566,0,1,710
98,710052,52.09484,4.28561,0,1,710
99,710053,52.09485,4.28558,0,1,710
100,711081,52.09605,4.28600,1,0,711
101,712111,52.09646,4.28755,-1,-1,712
102,712112,52.09644,4.28757,0,-1,712
103,712113,52.09641,4.28760,0,-1,712
104,712181,52.09646,4.28711,1,-1,712
105,712182,52.09647,4.28715,1,1,712
106,711651,52.09550,4.28628,0,1,711
107,711652,52.09550,4.28622,0,1,711
108,711653,52.09554,4.28621,0,1,711
109,711661,52.09561,4.28626,-1,1,711
110,710681,52.09512,4.28526,1,1,710
111,710682,52.09515,4.28527,1,0,710
112,711711,52.09608,4.28663,-1,-1,711
113,711712,52.09606,4.28664,0,-1,711
114,711713,52.09603,4.28667,0,-1,711
115,711721,52.09601,4.28670,-1,-1,711
116,712751,52.09605,4.28743,0,1,712
117,712752,52.09605,4.28738,0,1,712
118,712753,52.09608,4.28736,0,1,712
119,712754,52.09609,4.28733,-1,1,712
120,710801,52.09529,4.28563,-1,-1,710
121,710811,52.09528,4.28569,0,-1,710
122,710812,52.09525,4.28571,0,-1,710